category,question,answer
UMUM,Apa itu Allo Bank?,"Sebuah layanan perbankan berbasis digital yang dapat memudahkan setiap nasabahnya dalam melakukan kegiatan finansial ataupun non finansial pada satu aplikasi. Bagi yang belum tahu, nama dari Allo Bank sebenarnya memiliki singkatan ""All in One"" dan mempunyai arti sebagai ""one for all, and all for one"" alias semua untuk satu dan satu untuk semua."
UMUM,Kapan Allo Bank didirikan di Indonesia?,Allo Bank didirikan di Indonesia pada tahun 2021.
UMUM,Apakah Allo Bank terdaftar dan diawasi oleh Otoritas Jasa Keuangan?,Benar! Allo Bank telah terdaftar dan diawasi oleh Otoritas Jasa Keuangan (OJK).
UMUM,Apakah menyimpan dana di Allo Bank dipastikan aman?,Tentu saja! Allo Bank terdaftar sebagai peserta Lembaga Penjamin Simpanan (LPS) serta terdaftar dan diawasi oleh Otoritas Jasa Keuangan (OJK).
UMUM,Apakah Allo Bank memiliki kantor cabang?,"Saat ini, Allo Bank memiliki dua kantor cabang yang berlokasi di:
1. Menara Bank Mega, Jl. Kapten Tendean No.12 Mampang Prapatan, South Jakarta 12790 Indonesia
2. Indofood Tower, South Jakarta 12790 Indonesia"
UMUM,Bagaimana jika saya ingin mengajukan pertanyaan atau keluhan kepada Allo Bank?,"Allo Bank memiliki beberapa saluran layanan yang bisa kamu gunakan untuk menyampaikan pertanyaan atau keluhan
- Chat Kami
Lakukan perbincangan langsung dengan kami melalui fitur chat yang dapat kamu temukan melalui halaman Pusat Bantuan atau Whatsapp 0822 0822 4110
- Call Center
Hubungi kami melalui telepon di 080 4110 4110
- Email
Sampaikan pertanyaan atau detail keluhan kamu melalui email ke allocare@allobank.com"
UMUM,Di mana kantor pusat Allo Bank berada?,"Saat ini, Allo Bank hanya memiliki kantor pusat yang berlokasi di Menara Bank Mega, Jl. Kapten Tendean No.12 Mampang Prapatan, Jakarta Selatan 12790 Indonesia"
UMUM,Apa itu aplikasi Allo Bank?,Aplikasi Allo adalah aplikasi layanan perbankan berbasis digital yang dikembangkan oleh Allo Bank yang memungkinkan fitur di dalamnya dapat dinikmati oleh pengguna dari satu aplikasi dalam satu genggaman.
UMUM,Fitur apa saja yang terdapat di dalam aplikasi Allo Bank?,"Saat ini, Allo Bank memiliki fitur :

1. Pembayaran QRIS
2. Transfer
3. Allo Grow
4. Top Up Saldo
5. E-Wallet
6. Deposito
7. Dana Instan
8. Bayar Tagihan
9. Tarik Tunai
10. Referral"
UMUM,Apa keuntungan menggunakan aplikasi Allo Bank?,"Setiap hari jadi spesial dengan Allo Bank. Jalani dengan ceria bersama keuntungan-keuntungan berikut.
1. Satu akses untuk layanan perbankan dan finansial
2. Allo Bank membuat pengalaman perbankan dan finansial Anda jadi lebih praktis. Keduanya dipadukan dalam satu aplikasi yang menjadikan hidupmu lebih mudah
3. Transaksi lebih menyenangkan dengan kupon dan reward
4. Menikmati belanja, makan, dan aktivitas jadi lebih maksimal dengan kupon. Anda juga bisa kumpulkan poin dari transaksi-transaksimu. Makin untung!
5. Traktiran dan kejutan eksklusif untuk memanjakan diri
6. Tiket gratis untuk berbagai acara, akses menikmati promo lebih awal, dan kejutan ekstra lainnya menanti Anda. Karena Anda begitu spesial!
7. Banyak update dan informasi untuk dijelajahi
8. Anda tidak akan pernah ketinggalan update dengan adanya daftar berita dan info promo yang dihadirkan khusus untukmu. Keren!"
